Obec,Unnamed: 1,Druh dokumentace,Název dokumentace,Číslo dokumentace,Zahájení prací - schválení / rozhodnutí o pořízení 101,Zadání - zahájení projednání 103,Zadání - ukončení projednání 104,Zadání - schválení 105,Koncept řešení - odevzdání 106,Koncept řešení - zahájení projednání 107,Koncept řešení - ukončení projednání 108,Návrh - odevzdání 112,Návrh - zahájení projednání 113,Návrh - ukončení projednání 114,Návrh – stanovisko krajského úřadu / nadřízeného orgánu územního plánování 115,Návrh – vydání / schválení 116,Návrh - nabytí účinnosti 117
,Sentice,Územní plán,Změna č. 2 ÚP Sentice,973891953852,,07.08.2024,,,,,,,,,,,
Nelepeč-Žernůvka,,Územní plán,Územní plán Nelepeč-Žernůvka,86477296,03.08.2009,08.12.2009,26.03.2010,31.03.2010,,,,18.11.2010,19.05.2011,,,,
Malá Štáhle,,Územní plán,Územní plán Malá Štáhle,31969851,22.04.2005,27.04.2005,,07.04.2009,,,,,29.06.2009,,24.09.2009,16.12.2009,01.01.2010
,Malá Štáhle,Územní plán,ÚP Malá Štáhle - změna č. 1,3196985101,14.12.2011,23.03.2012,,02.05.2012,,,,,26.10.2012,,,,24.10.2015
,Malá Štáhle,Územní plán,ÚP Malá Štáhle - změna č. 2,3196985102,12.10.2020,,,,,,,,,,,,05.08.2022
Žalany,,Územní plán,Územní plán Žalany,19385928,22.02.2007,04.04.2008,,10.07.2008,,,,,21.01.2009,,01.06.2009,12.11.2009,28.11.2009
,Žalany,Územní plán,Změna č. 1 ÚP Žalany,1938592801,05.06.2018,,,25.06.2019,,,,,,,,,31.12.2021
,Žalany,Územní plán,Změna č. 2 ÚP Žalany,973891951349,06.12.2022,,,21.03.2023,,,,,,,,,05.12.2024
Pletený Újezd,,Územní plán,Územní plán Pletený Újezd,12186397,01.08.2004,01.06.2005,,01.12.2006,,01.11.2007,,,01.06.2009,,01.11.2009,01.04.2010,23.04.2010
,Pletený Újezd,Územní plán,Změna č. 2,1218639701,,,,30.11.2016,,,,,,,,,14.02.2019
,Pletený Újezd,Územní plán,Změna Z1,1218639702,24.06.2015,03.08.2015,,30.11.2016,,,,,27.04.2017,,26.06.2018,25.09.2019,24.10.2019
Bítov,,Územní plán,Územní plán Bítov,15275211,17.03.2006,19.12.2007,,14.03.2008,,,,,19.02.2009,,08.06.2009,02.10.2009,29.10.2009
,Bítov,Územní plán,ÚP Bítov - změna č. 1,1527521101,11.02.2013,,,12.08.2013,,,,,,,,,27.08.2014
,Bítov,Územní plán,ÚP Bítov - změna č. 2,1527521102,11.12.2017,,,17.09.2018,,,,,,,,,27.05.2021
Máslovice,,Územní plán,Územní plán Máslovice,3564090,29.01.2009,,,,,,,,14.04.2009,,29.07.2009,13.10.2009,29.10.2009
,Máslovice,Územní plán,Změna č. 1 územního plánu Máslovice,973891951080,,,,28.12.2021,,,,,,,,,15.10.2022
,Máslovice,Územní plán,Změna č. 2 ÚP Máslovice,973891953153,22.08.2023,,,,,,,,,,,,01.01.2025
Račice,,Územní plán,Územní plán Račice,44695681,01.11.2008,01.04.2009,,01.06.2009,,,,,01.10.2009,,01.04.2010,10.09.2010,29.09.2010
Andělská Hora,,Územní plán,Územní plán Andělská Hora,35027713,26.11.2009,04.05.2011,,14.06.2011,,,,31.12.2011,19.12.2011,,27.01.2015,11.08.2015,27.08.2015
,Andělská Hora,Územní plán,Změna č. 1 Územního plánu Andělská Hora,973891951929,,10.11.2021,,15.12.2021,,,,,09.08.2023,,07.11.2023,13.12.2023,30.12.2023
Přelovice,,Územní plán,Územní plán Přelovice,25746882,27.08.2009,19.11.2009,,21.01.2010,,,,,10.08.2010,,16.11.2010,27.10.2011,28.12.2011
,Přelovice,Územní plán,Změna č. 1 ÚP Přelovice,973891953036,04.09.2023,,,11.05.2023,,,,,,,,,
Rokytá,,Územní plán,Územní plán Rokytá,65453737,28.07.2008,16.09.2008,,22.10.2008,,,,,14.04.2009,,09.07.2009,31.08.2009,16.10.2009
,Rokytá,Územní plán,Změna č. 1 ÚP Rokytá,6545373701,19.10.2020,,,,,,,,,,,,30.12.2021
Milostín,,Územní plán,Územní plán obce Milostín,90574281,11.04.2008,12.08.2008,,30.09.2008,,,,,16.03.2009,,12.06.2009,24.08.2009,08.09.2009
Řetůvka,,Územní plán,Územní plán Řetůvka,59484499,23.09.2009,01.12.2009,,08.02.2010,,,,,15.08.2011,,30.12.2011,11.04.2012,09.05.2012
,Řetůvka,Územní plán,Změna č. 1 ÚP Řetůvka,5948449901,,,,16.06.2021,,,,,,,,,10.11.2023
Kublov,,Územní plán,Územní plán Kublov (okres Beroun),47533816,01.01.2000,01.03.2000,,06.11.2000,,,,,10.06.2009,,22.12.2009,20.05.2010,05.06.2010
,Kublov,Územní plán,Změna č. 1 ÚP Kublov,4753381601,06.04.2011,24.10.2011,,30.11.2011,,,,,24.04.2012,,26.06.2012,27.09.2012,12.10.2012
Konice,,Územní plán,Územní plán Konice,28638858,16.03.2009,20.04.2009,,08.06.2009,,25.10.2011,,,,,,,11.06.2013
,Konice,Územní plán,Změna č. 2 ÚP Konice,2863885802,07.09.2020,,,,,,,,,,,,07.10.2021
,Konice,Územní plán,Změna č. 1 ÚP Konice,2863885801,30.05.2016,,,29.08.2016,,,,,,,,,21.12.2017
,Konice,Územní plán,Změna č. 3 ÚP Konice,973891951316,07.03.2022,,,,,,,,,,,,17.03.2023
Krumsín,,Územní plán,Územní plán Krumsín,69604128,25.01.2007,08.06.2007,,02.08.2007,,,,,06.05.2008,,11.06.2009,17.08.2009,25.09.2009
,Krumsín,Územní plán,Změha č. 1 ÚP Krumsín,6960412801,30.08.2012,,,25.04.2013,,,,,,,,,15.09.2014
,Krumsín,Územní plán,Změna č. 3 ÚP Krumsín,6960412803,05.09.2018,,,,,,,,,,,,23.09.2019
,Krumsín,Územní plán,Změna č. 2 ÚP Krumsín,6960412802,01.03.2016,,,28.04.2016,,,,,,,,,17.07.2017
,Krumsín,Územní plán,Změna č. 4 ÚP Krumsín,973891953350,,,,25.05.2023,,,,,,,,,30.12.2024
Rostoklaty,,Územní plán obce,Územní plán obce Rostoklaty,41952151,13.03.1996,,,,,,,31.05.2002,,,22.10.2002,29.10.2002,14.11.2002
,Rostoklaty,Územní plán obce,Změna č. 1 ÚPO Rostoklaty,4195215101,10.11.2003,15.04.2004,01.06.2004,08.09.2004,,,,,31.01.2005,,17.08.2005,10.10.2005,25.10.2005
,Rostoklaty,Územní plán obce,Změna č. 2 ÚPO Rostoklaty,4195215102,15.01.2007,25.04.2007,,09.07.2007,,,,,01.10.2007,,12.12.2007,03.03.2008,26.03.2008
Miřetice,,Územní plán,Územní plán Miřetice,70322816,24.08.2009,07.12.2009,,25.01.2010,,,,,14.12.2010,,24.08.2011,28.11.2011,14.12.2011
,Miřetice,Územní plán,Změna č. 2 ÚP Miřetice,7032281602,,,,24.06.2019,,,,,,,,,24.06.2020
,Miřetice,Územní plán,Změna č. 1 ÚP Miřetice,7032281601,09.09.2013,,,22.12.2014,,,,,,,,,12.04.2017
,Miřetice,Územní plán,Změna č. 3 ÚP Miřetice,973891953598,,,,25.09.2023,,,,,,,,,
Krasov,,Územní plán,Územní plán Krasov,6594486,13.05.2009,07.09.2010,,13.12.2010,,,,,27.07.2011,,07.12.2011,18.04.2012,03.05.2012
,Krasov,Územní plán,ÚP Krasov - změna č. 1,6594486001,28.08.2017,,,24.10.2017,,,,,,,,,06.12.2019
,Krasov,Územní plán,ÚP Krasov - změna č. 2,973891954157,13.03.2024,,,,,,,,,,,,
Zádveřice-Raková,,Územní plán,Územní plán Zádveřice-Raková,87377564,25.02.2009,26.01.2010,01.03.2010,25.08.2010,,,,29.04.2011,04.05.2011,01.02.2012,21.07.2011,28.03.2012,18.04.2012
,Zádveřice-Raková,Územní plán,Změna č. 1,8737756401,,,,25.11.2020,,,,,,,,,
Lobendava,,Územní plán,Územní plán Lobendava,66263979,21.04.2008,07.07.2009,,26.10.2009,,,,,30.03.2010,,12.10.2010,29.08.2011,30.09.2011
,Lobendava,Územní plán,změna č. 1 ÚP Lobendava,6626397901,10.09.2020,,,10.09.2020,,,,,,,,,26.12.2024
Ostrovačice,,Územní plán,Územní plán Ostrovačice,43612307,01.08.1994,19.12.1995,,30.06.1997,,04.11.2005,,,08.09.2008,,17.02.2009,27.07.2009,12.08.2009
Vysoké Popovice,,Územní plán,Územní plán Vysoké Popovice,73104494,21.03.2007,24.07.2007,,28.11.2007,,,,,03.06.2008,,09.09.2008,11.02.2009,27.02.2009
,Vysoké Popovice,Územní plán,Změna č. I ÚP Vysoké Popovice,7310449401,16.07.2014,15.09.2015,,27.04.2016,,,,,,,,27.11.2019,13.12.2019
Horní Moštěnice,,Územní plán,Územní plán Horní Moštěnice,78559511,07.12.2009,22.05.2012,,03.12.2012,,,,,,,,,25.03.2020
,Horní Moštěnice,Územní plán,Změna č.1 ÚP Horní Moštěnice,7855951101,29.11.2021,,,29.11.2021,,,,,,,,,11.02.2023
Nikolčice,,Územní plán,Územní plán Nikolčice,56589472,29.01.2010,14.06.2010,12.08.2010,24.08.2010,,,,01.06.2011,21.06.2011,06.12.2011,27.03.2012,27.04.2012,24.05.2012
,Nikolčice,Územní plán,Změna č. 1 ÚP Nikolčice,5658947201,05.06.2013,21.06.2013,25.07.2013,05.09.2013,,,,21.01.2014,23.01.2014,,25.06.2014,08.10.2014,28.10.2014
Hostouň,,Územní plán,Územní plán Hostouň,27415103,18.11.2009,06.10.2010,,07.12.2010,,,,,01.06.2011,,11.10.2011,14.09.2012,06.10.2012
,Hostouň,Územní plán,Změna č. 1 ÚP Hostouň,2741510301,11.12.2015,,,14.04.2016,,,,,,,,13.03.2018,11.04.2018
,Hostouň,Územní plán,Změna č.2 ÚP Hostouň,973891952206,23.05.2023,,,26.09.2023,,,,,,,,16.07.2024,18.06.2024
Cerekvice nad Loučnou,,Územní plán,Územní plán Cerekvice nad Loučnou,38828677,22.09.2009,14.12.2009,,19.01.2010,,,,01.08.2010,13.08.2010,,03.12.2010,31.05.2011,17.06.2011
Pochvalov,,Územní plán,Územní plán Pochvalov,90781800,01.03.2007,01.06.2009,,01.12.2009,,,,,01.05.2010,,16.09.2010,15.12.2010,31.12.2010
,Pochvalov,Územní plán,Změna č. 1 ÚP Pochvalov,9078180001,24.10.2015,,,20.04.2016,,,,,,,,,27.09.2017
Tuchoměřice,,Územní plán,Územní plán Tuchoměřice,11184329,28.04.2011,,,12.12.2012,,,,,,,,,04.11.2023
,Tuchoměřice,Územní plán,Změna č. 1 ÚP Tuchoměřice,973891954787,03.07.2024,,,03.07.2024,,,,,,,,,01.04.2025
Řevničov,,Územní plán,Územní plán Řevničov,63561647,01.12.2008,01.04.2009,,01.09.2009,,,,,01.05.2011,,08.09.2011,07.12.2011,23.12.2011
,Řevničov,Územní plán,Změna č. 1,6356164701,07.12.2016,,,14.06.2017,,,,,,,,,26.06.2019
,Řevničov,Územní plán,Změna č. 2 ÚP Řevničov,6356164702,11.08.2021,,,11.08.2021,,,,,,,,,21.09.2022
Plavy,,Územní plán,Územní plán Plavy,49462527,23.04.2008,11.08.2009,,04.11.2009,,,,,03.06.2010,,23.09.2010,23.02.2011,11.03.2011
,Plavy,Územní plán,Změna č.1 ÚP Plavy,4946252701,,,,25.03.2019,,,,,,,,,05.01.2021
Čepí,,Územní plán,Územní plán Čepí,14071292,20.01.2009,09.12.2009,,25.01.2010,,,,,10.04.2013,,11.03.2016,01.09.2016,27.09.2016
,Čepí,Územní plán,Změna č. 1 ÚP Čepí,973891951419,27.03.2023,,,27.03.2023,,,,,,,,,04.07.2024
Janov,,Územní plán,Územní plán obce Janov,71958559,19.12.2007,05.03.2008,,24.09.2008,,,,,10.02.2009,,15.06.2009,17.09.2009,03.10.2009
,Janov,Územní plán,Změna č. 2,7195855902,01.04.2015,22.06.2015,,23.09.2015,,,,,03.11.2015,,20.01.2016,07.04.2016,22.04.2016
,Janov,Územní plán,Změna č. 1,7195855901,01.09.2014,12.11.2014,,01.04.2015,,,,,16.06.2015,,01.09.2015,17.12.2015,02.01.2016
,Janov,Územní plán,Změna č. 3 ÚP Janov,973891950537,02.12.2020,,,15.09.2021,,,,,,,10.05.2021,15.06.2022,12.07.2022
Velké Hamry,,Územní plán,Územní plán Velké Hamry,26133365,26.06.2008,21.07.2009,,24.09.2009,,,,,25.05.2010,,19.10.2010,17.02.2011,07.03.2011
,Velké Hamry,Územní plán,Změna č. 1 ÚP Velké Hamry,2613336501,,,,21.03.2019,,,,,,,,,15.10.2020
Vojkov,,Územní plán,Územní plán Vojkov,33964175,01.01.1999,,,01.06.2005,,,,,03.12.2008,,24.07.2009,24.09.2009,10.10.2009
,Vojkov,Územní plán,Změna č. 1,3396417501,31.10.2012,12.11.2012,,19.12.2012,,,,,,,,,02.11.2013
,Vojkov,Územní plán,Změna č. 2,3396417502,19.02.2018,,,19.02.2018,,,,,,,,,07.06.2019
Lišany,,Územní plán,Územní plán Lišany,65723382,21.10.2003,26.05.2004,,28.05.2005,,30.05.2005,,,14.04.2009,,16.02.2009,13.10.2009,30.10.2009
,Lišany,Územní plán,Změna č. 1 ÚP Lišany,973891953532,,,,23.06.2022,,,,,,,,,
Bučina,,Územní plán,Územní plán Bučina,15490360,08.12.2009,15.12.2009,,20.01.2010,,,,,23.06.2010,,13.09.2010,14.12.2010,31.12.2010
Daskabát,,Územní plán,Územní plán Daskabát,26462954,14.12.2011,,,24.06.2013,,,,,,,,,07.03.2019
Jezbořice,,Územní plán,Územní plán Jezbořice,16535587,27.08.2008,19.12.2009,,02.02.2010,,,,,13.12.2010,,20.05.2011,19.10.2011,11.11.2011
,Jezbořice,Územní plán,Změna č. 1 ÚP Jezbořice,973891950923,,13.10.2021,,05.09.2022,,,,,,,,,
Dubno,,Územní plán,Územní plán Dubno,18650455,25.04.2004,01.01.2006,,09.10.2006,,20.09.2008,,,01.01.2009,,22.06.2009,30.09.2009,22.10.2009
,Dubno,Územní plán,Změna č. 1,1865045501,18.07.2011,,,12.03.2012,,,,,05.09.2012,,22.10.2012,22.04.2013,09.05.2013
,Dubno,Územní plán,Změna č. 2,1865045502,23.09.2013,,,24.03.2014,,,,,,,,,06.10.2015
,Dubno,Územní plán,Změna č. 3 ÚP,1865045503,12.10.2020,,,22.02.2021,,,,,,,,,29.09.2021
Březnice,,Územní plán,Územní plán Březnice,17805118,11.10.2007,02.07.2009,,15.10.2009,,,,,03.06.2010,,04.09.2012,12.12.2012,27.12.2012
,Březnice,Územní plán,Změna č. 2 ÚP Březnice,1780511801,12.10.2021,,,,,,,,18.11.2021,,08.02.2022,15.12.2022,30.03.2022
,Březnice,Územní plán,Změna č. 1 ÚP Březnice,1780511802,05.05.2020,,,13.10.2020,,,,,,,,,22.12.2021
,Březnice,Územní plán,Změna č. 3 ÚP Březnice,973891950593,15.02.2022,,,,,,,,29.03.2022,,22.04.2022,21.06.2022,08.07.2022
,Březnice,Územní plán,Změna č. 4 ÚP Březnice,973891951928,14.02.2023,,,,,,,,,,,,07.07.2023
Dolany,,Územní plán,Územní plán Dolany,72208803,03.02.2009,25.05.2009,,02.09.2009,,,,,,,,,25.12.2013
,Dolany,Územní plán,Změna č. 1 ÚP Dolany,7220880301,14.05.2018,,,14.05.2018,,,,,,,,,20.10.2020
,Dolany,Územní plán,Změna č. 2 ÚP Dolany,7220880302,08.11.2021,,,20.06.2021,,,,,,,,,09.06.2023
Horní Domaslavice,,Územní plán,Územní plán Horní Domaslavice,83111207,14.09.2009,12.11.2009,,28.04.2010,,,,,,,05.04.2011,15.06.2011,01.07.2011
,Horní Domaslavice,Územní plán,ÚP Horní Domaslavice - změna č. 1,973891951988,,,,07.12.2021,,,,,,,,,17.08.2023
Mikulůvka,,Územní plán,Územní plán Mikulůvka,93868653,31.03.2006,03.12.2007,,29.02.2008,,,,,05.02.2008,,28.05.2009,27.10.2009,18.11.2009
,Mikulůvka,Územní plán,Změna č. 1 Územního plánu Mikulůvka,9386865302,25.07.2013,,,25.07.2013,,,,07.04.2014,24.11.2014,,13.03.2015,21.04.2016,14.05.2016
Prostřední Bečva,,Územní plán,Územní plán Prostřední Bečva,3992862,25.05.2007,21.10.2008,,21.10.2009,,02.11.2011,,,23.07.2012,,22.07.2013,30.08.2013,14.09.2013
,Prostřední Bečva,Územní plán,Změna č.1 územního plánu Prostřední Bečva,3992862001,13.12.2016,30.10.2017,19.01.2018,08.02.2018,,,,15.11.2019,10.02.2020,20.09.2021,25.05.2020,23.09.2021,15.10.2021
,Prostřední Bečva,Územní plán,Změna č. 2 Územního plánu Prostřední Bečva,973891952082,15.12.2022,02.05.2023,19.06.2023,22.06.2023,,,,03.06.2024,05.06.2024,,28.08.2024,,
Černošice,,Územní plán,Územní plán Černošice,58787172,17.09.2008,10.03.2009,,15.06.2009,,,,,21.02.2010,,07.08.2010,07.10.2010,02.11.2010
,Černošice,Územní plán,Změna č. 2 ÚP Černošice,5878717202,21.08.2015,,,25.01.2017,,,,,,,,,22.11.2018
,Černošice,Územní plán,Změna č. 1 ÚP Černošice,5878717201,09.12.2010,27.05.2011,,21.07.2011,,,,,,,,,12.08.2014
,Černošice,Územní plán,Změna č. 3 ÚP Černošice,5878717203,24.10.2019,,,,,,,,,,,,
,Černošice,Územní plán,Změna č. 3A ÚP Černošice,5878717204,17.09.2019,,,24.10.2019,,,,,,,,,01.04.2022
,Černošice,Územní plán,Změna č. 4 ÚP Černošice,5878717205,07.01.2020,,,12.03.2020,,,,,,,,,01.04.2022
,Černošice,Územní plán,Změna č. 5 ÚP Černošice,5878717206,01.07.2020,,,21.01.2021,,,,,,,,,01.04.2022
,Černošice,Územní plán,Změna č. 3B ÚP Černošice,973891951660,17.09.2019,,,24.10.2019,,,,,,,,,20.05.2023
,Černošice,Územní plán,Změna č. 6A ÚP Černošice,973891952659,14.07.2021,,,,,,,,,,,,22.11.2023
,Černošice,Územní plán,Změna č. 6B ÚP Černošice,973891953379,14.07.2021,,,,,,,,,,,,12.04.2024
Zbuzany,,Územní plán,Územní plán Zbuzany,44794863,23.12.2008,16.03.2009,,10.06.2009,,,,,19.10.2009,,19.05.2010,23.03.2011,08.04.2011
,Zbuzany,Územní plán,Změna č. 2,4479486301,15.11.2016,,,21.11.2017,,,,,,,,,26.01.2022
Hořesedly,,Územní plán,Územní plán Hořesedly,94199334,01.05.2008,01.06.2009,,01.11.2009,,,,,01.10.2010,,22.10.2012,19.09.2014,07.10.2014
,Hořesedly,Územní plán,Změna č. 1 ÚP Hořesedly,9419933401,,,,06.05.2019,,,,,,,,,09.05.2022
Kašperské Hory,,Územní plán,Územní plán Kašperské Hory,87137566,17.12.2008,20.08.2010,,19.04.2011,,,,,,,,,
Hluboké Dvory,,Územní plán,Územní plán Hluboké Dvory,59966677,04.09.2009,14.12.2009,26.02.2010,05.03.2010,,,,19.05.2011,19.05.2011,09.01.2013,07.09.2011,05.03.2013,10.04.2013
Police,,Územní plán,Územní plán Police,17860049,07.02.2008,22.01.2008,,27.03.2008,,,,,20.07.2009,,29.10.2009,22.09.2011,20.10.2011
,Police,Územní plán,Změna č. 1,1786004902,,,,05.11.2019,,,,,08.12.2020,,03.03.2021,26.10.2021,11.11.2021
Branky,,Územní plán,Územní plán Branky,92286317,17.03.2008,05.10.2009,,14.12.2009,,,,04.05.2012,14.05.2012,08.04.2013,16.05.2013,25.09.2013,11.10.2013
,Branky,Územní plán,Změna č. 1 Územního plánu Branky,9228631701,27.09.2017,,,27.09.2017,,,,17.01.2019,30.01.2019,12.04.2019,23.07.2019,25.09.2019,15.10.2019
Loučka,,Územní plán,Územní plán Loučka,91013299,13.02.2008,23.09.2009,,02.12.2009,,,,,09.01.2012,,17.10.2012,17.12.2012,03.01.2013
,Loučka,Územní plán,Změna č. 1,973891950278,,,,21.09.2022,,,,,,,,,
Vrábče,,Územní plán,Územní plán Vrábče,44233340,05.10.2011,15.05.2012,,01.08.2012,,,,,02.04.2013,,14.01.2014,03.02.2016,24.02.2016
,Vrábče,Územní plán,Změna č. 1 ÚP Vrábče,4423334001,07.09.2016,,,,,,,,,,,,26.11.2019
,Vrábče,Územní plán,Změna č. 2 ÚP Vrábče,4423334002,04.03.2020,,,,,,,,,,,,26.02.2021
,Vrábče,Územní plán,Změna č. 3 ÚP Vrábče,4423334003,04.08.2021,,,,,,,,,,,,10.03.2022
,Vrábče,Územní plán,Změna č. 4 ÚP Vrábče,973891951822,04.08.2021,,,04.08.2021,,,,,,,,,11.07.2023
,Vrábče,Územní plán,Změna č. 5,973891952181,07.12.2022,,,,,,,,,,,,01.04.2025
Choryně,,Územní plán,Územní plán Choryně,76723878,28.05.2009,02.12.2009,,27.03.2010,,,,31.10.2011,09.01.2012,,17.07.2013,17.10.2013,06.11.2013
,Choryně,Územní plán,Změna č. 1 Územního plánu Choryně,7672387801,13.12.2017,,,13.12.2017,,,,16.12.2020,07.01.2021,,16.03.2021,14.06.2021,07.07.2021
,Choryně,Územní plán,Změna č. 2 Územního plánu Choryně,973891953530,23.10.2023,,,25.04.2024,,,,,,,,,
Valašské Meziříčí,,Územní plán,Územní plán Valašské Meziříčí,15696353,25.01.2007,11.03.2009,,25.06.2009,,17.08.2010,,31.08.2011,04.10.2011,29.02.2012,10.10.2012,01.11.2012,20.11.2012
,Valašské Meziříčí,Územní plán,Změna č. 1 ÚP Valašské Meziříčí,1569635301,19.06.2014,26.06.2014,,25.09.2014,,,,23.02.2015,25.03.2015,,24.07.2015,23.06.2016,12.07.2016
,Valašské Meziříčí,Územní plán,Změna č. 2 ÚP Valašské Meziříčí,1569635302,30.11.2016,,,02.02.2017,,,,24.07.2017,04.10.2017,27.11.2017,,20.09.2018,16.10.2018
,Valašské Meziříčí,Územní plán,Změna č. 3 ÚP Valašské Meziříčí,973891950652,,28.08.2020,04.01.2021,28.01.2021,,,,21.12.2021,04.01.2022,12.09.2022,21.12.2022,12.06.2023,05.07.2023
,Valašské Meziříčí,Územní plán,Změna č. 4 ÚP Valašské Meziříčí,973891954336,24.06.2024,,,,,,,11.12.2024,17.12.2024,,,,
Starovice,,Územní plán,Územní plán Starovice,77651613,16.02.2010,01.06.2010,26.07.2010,17.08.2010,,,,25.08.2011,30.08.2011,,28.11.2012,06.06.2013,26.06.2013
,Starovice,Územní plán,Změna č. 1 územního plánu Starovice,7765161301,,07.08.2017,08.09.2017,21.09.2017,,,,09.04.2018,10.10.2018,14.05.2019,06.08.2019,24.10.2019,15.11.2019
,Starovice,Územní plán,Změna č. 2 územního plánu Starovice,973891954193,06.06.2022,,,,,,,,,,,,08.06.2023
Kladeruby,,Územní plán,Územní plán Kladeruby,47278994,20.12.2007,31.01.2008,,26.03.2008,,,,,24.05.2011,,24.10.2011,28.06.2012,09.08.2012
,Kladeruby,Územní plán,Změna č. 1,4727899401,,,,27.04.2022,,,,,,,,,
Suchá Loz,,Územní plán,Územní plán Suchá Loz,44961184,13.07.2007,01.08.2007,16.01.2008,20.03.2009,,,,26.03.2009,30.03.2009,10.07.2009,05.08.2009,19.10.2009,06.11.2009
,Suchá Loz,Územní plán,Změna č. 1 ÚP Suchá Loz,44961184012,29.04.2011,28.06.2011,03.08.2011,02.09.2011,,,,25.09.2011,21.10.2011,03.05.2012,18.01.2012,25.05.2012,02.07.2012
,Suchá Loz,Územní plán,Změna č. 2 ÚP Suchá Loz,4496118401,22.05.2015,23.03.2015,13.05.2015,22.05.2015,,,,04.02.2016,03.03.2016,,10.06.2016,03.03.2017,21.03.2017
,Suchá Loz,Územní plán,Změna č. 3 Územního plánu Suchá Loz,4496118402,05.02.2021,14.12.2020,13.01.2021,05.02.2021,,,,28.04.2021,18.08.2021,14.03.2022,12.01.2022,18.03.2022,05.04.2022
Dolní Lhota,,Územní plán,Územní plán Dolní Lhota,34507388,18.10.2016,16.01.2017,16.02.2017,17.02.2017,,,,10.10.2017,17.10.2017,22.06.2018,15.01.2018,18.09.2018,06.10.2018
,Dolní Lhota,Územní plán,Změna č. 1 ÚP Dolní Lhota,973891952793,,,,27.11.2023,,,,,,,,,
Chvalčov,,Územní plán,Územní plán Chvalčov,11430866,14.11.2005,07.02.2007,,22.03.2007,,27.11.2007,,,15.01.2009,,09.07.2009,21.09.2009,08.10.2009
,Chvalčov,Územní plán,Změna č. 1 Územního plánu Chvalčov,1143086601,01.05.2013,28.07.2014,16.09.2014,22.09.2014,,,,30.09.2016,26.01.2017,30.10.2017,,08.12.2017,27.12.2017
,Chvalčov,Územní plán,Změna č.2 územní plán Chvalčov,973891950749,,,,15.03.2022,,,,,06.06.2022,19.07.2022,08.09.2022,15.09.2022,07.10.2022
Měcholupy,,Územní plán,Územní plán Měcholupy,91157166,10.06.2009,24.02.2010,,12.05.2010,,,,10.12.2010,04.01.2011,23.02.2011,03.10.2011,27.09.2012,13.10.2012
,Měcholupy,Územní plán,Změna č. 1 ÚP Měcholupy,973891951692,16.01.2013,,,26.04.2023,,,,,,,,,22.04.2025
Drásov,,Územní plán,Územní plán Drásov,11967105,03.10.2007,29.04.2008,,04.02.2009,,,,,29.04.2009,,25.08.2009,04.11.2009,28.11.2009
,Drásov,Územní plán,Změna č. 2 ÚP Drásov,1196710501,,,,25.10.2017,,,,,,,,,10.11.2017
,Drásov,Územní plán,Změna č. 3 ÚP Drásov - zkrácený postup,973891951841,13.04.2022,,,,,,,,,,,,20.05.2023
Chraberce,,Územní plán,Územní plán Chraberce,20165652,02.10.2007,14.03.2008,,08.07.2008,,,,,14.05.2009,,13.07.2009,27.10.2009,26.12.2009
Dešná,,Územní plán,Územní plán Dešná,55466860,25.03.2010,16.06.2010,,06.09.2010,,,,30.09.2011,03.10.2011,09.07.2012,29.12.2011,06.08.2012,28.08.2012
,Dešná,Územní plán,Změna č.1 ÚP Dešná,5546686001,,,,15.03.2018,,,,,,,,,28.12.2019
,Dešná,Územní plán,Změna č. 2,5546686002,,,,01.07.2021,,,,,,,,,04.01.2024
Nové Sedlo,,Územní plán,Územní plán Nové Sedlo,5724735,22.11.2007,30.07.2009,,17.12.2009,,,,,12.07.2010,,09.03.2011,29.09.2011,16.10.2011
,Nové Sedlo,Územní plán,změna č. 1 ÚP Nové Sedlo,5724735002,11.03.2015,11.06.2015,10.07.2015,15.07.2015,,,,,09.09.2015,18.04.2016,12.02.2016,27.04.2016,18.05.2016
,Nové Sedlo,Územní plán,změna č. 2 Územního plánu Nové Sedlo,5724735001,,,,05.06.2018,,,,,,,,,
,Nové Sedlo,Územní plán,Změna č. 3 ÚP Nové Sedlo,973891951694,,,,24.03.2023,,,,,,,,,
Moravské Málkovice,,Územní plán,Územní plán Moravské Málkovice,39976138,,,,21.12.2007,,,,,16.12.2009,,04.05.2010,14.07.2010,30.07.2010
,Moravské Málkovice,Územní plán,Změna č.1 ÚP Moravské Málkovice,3997613801,,,,29.06.2018,,,,,,,,19.03.2021,16.04.2021
Ústín,,Územní plán,Územní plán Ústín,73865907,13.06.2007,26.07.2007,,10.10.2007,,,,,22.09.2009,,07.12.2009,12.05.2010,28.05.2010
Horní Bojanovice,,Územní plán,Územní plán Horní Bojanovice,33156985,09.06.2010,13.08.2010,29.09.2010,26.01.2011,,,,,03.01.2012,,21.08.2012,02.10.2012,22.10.2012
,Horní Bojanovice,Územní plán,Změna č. 1 územního plánu Horní Bojanovice,973891953313,29.06.2022,,,,,,,,27.02.2023,,04.04.2023,20.09.2023,20.02.2024
Semily,,Územní plán,Územní plán Semily,16488284,01.03.2007,21.07.2008,,09.10.2008,,15.06.2009,,,11.02.2010,,20.04.2010,06.12.2010,23.12.2010
,Semily,Územní plán,Změna č. 1 ÚP Semily,1648828401,26.03.2012,18.04.2012,,25.06.2012,,,,,05.09.2012,,,,05.04.2013
